"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2000","2000",12.4,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2001","2001",12.6,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2002","2002",12.7,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2003","2003",12.7,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2004","2004",12.9,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2005","2005",13,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2006","2006",13,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2007","2007",13.1,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2008","2008",13.2,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2009","2009",13.3,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2010","2010",13.6,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2011","2011",13.8,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2012","2012",14.1,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2013","2013",14.4,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2014","2014",14.7,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2015","2015",14.9,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2016","2016",15.2,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2017","2017",15.4,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2018","2018",15.6,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUT","Austria","2000","2000",15.4,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUT","Austria","2001","2001",15.4,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUT","Austria","2002","2002",15.5,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUT","Austria","2003","2003",15.4,,
