"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2001","2001",50,"D","Difference in methodology"
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2004","2004",53.5,"D","Difference in methodology"
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2007","2007",56,"D","Difference in methodology"
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2017","2017",47.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","AUT","Austria","2006","2006",47.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","AUT","Austria","2014","2014",46.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2001","2001",44.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2004","2004",44.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2008","2008",47.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2013","2013",48.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2001","2001",48.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2003","2003",49.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2005","2005",48.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2007","2007",49.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2008","2008",49.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2009","2009",50,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2010","2010",50.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2011","2011",50.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2012","2012",50.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2013","2013",52.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2014","2014",52.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2015","2015",52.4,"B","Break"
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2016","2016",53.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2017","2017",53.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CZE","Czech Republic","2002","2002",51.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CZE","Czech Republic","2008","2008",55.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CZE","Czech Republic","2014","2014",55.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2000","2000",41.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2005","2005",44.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2010","2010",46.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2013","2013",47.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2017","2017",51,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2000","2000",43.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2001","2001",44.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2002","2002",45.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2003","2003",45,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2004","2004",45.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2005","2005",49.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2006","2006",47.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2007","2007",48.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2008","2008",48.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2009","2009",49.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2010","2010",49.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2011","2011",50.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2012","2012",49.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2013","2013",49.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2014","2014",52.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2015","2015",56,"B; D","Break; Difference in methodology"
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2016","2016",56,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2017","2017",57,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2018","2018",55,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2000","2000",36.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2002","2002",37.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2004","2004",34.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2006","2006",37,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2008","2008",39.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2010","2010",42.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2012","2012",44.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2014","2014",46.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2003","2003",49.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2005","2005",49.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2009","2009",51.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2013","2013",52.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2014","2014",50.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2017","2017",52.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","GRC","Greece","2006","2006",57.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","GRC","Greece","2008","2008",58.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","GRC","Greece","2009","2009",55.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","GRC","Greece","2014","2014",56.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","GRC","Greece","2017","2017",55,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","HUN","Hungary","2000","2000",51.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","HUN","Hungary","2003","2003",52.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","HUN","Hungary","2009","2009",54.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","HUN","Hungary","2014","2014",54.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2002","2002",48.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2007","2007",60.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2010","2010",58.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2012","2012",63.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2015","2015",57.6,"B","Break"
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2017","2017",65.4,"B","Break"
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","IRL","Ireland","2002","2002",48,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","IRL","Ireland","2007","2007",51,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","IRL","Ireland","2015","2015",53,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2000","2000",41.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2001","2001",42.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2002","2002",42,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2003","2003",42.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2005","2005",44.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2006","2006",45.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2007","2007",45.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2008","2008",45.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2009","2009",46.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2010","2010",46,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2011","2011",45.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2012","2012",46,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2013","2013",45.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2014","2014",46.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2015","2015",45.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2016","2016",45.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ITA","Italy","2017","2017",46,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","KOR","Korea","2008","2008",21.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","KOR","Korea","2009","2009",22.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","KOR","Korea","2010","2010",22.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","KOR","Korea","2011","2011",23.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","KOR","Korea","2012","2012",24.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","KOR","Korea","2013","2013",24.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","KOR","Korea","2014","2014",25,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","KOR","Korea","2015","2015",26.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","KOR","Korea","2016","2016",27.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","KOR","Korea","2017","2017",27.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","LUX","Luxembourg","2014","2014",48,"D","Difference in methodology"
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2000","2000",44.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2001","2001",44.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2002","2002",44.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2003","2003",46.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2004","2004",46.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2005","2005",44.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2006","2006",46.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2007","2007",45.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2008","2008",46.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2009","2009",47.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2010","2010",48.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2011","2011",48.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2012","2012",47.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2013","2013",45.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2014","2014",48.2,"B","Break"
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2015","2015",47.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2016","2016",47.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NLD","Netherlands","2017","2017",47.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NOR","Norway","2002","2002",42,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NOR","Norway","2005","2005",45,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NOR","Norway","2008","2008",46,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NOR","Norway","2012","2012",46,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","NOR","Norway","2015","2015",46,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","POL","Poland","2004","2004",45.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","POL","Poland","2009","2009",52.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","POL","Poland","2014","2014",53.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","PRT","Portugal","2006","2006",51.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","PRT","Portugal","2014","2014",52.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SVK","Slovak Republic","2003","2003",47.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SVK","Slovak Republic","2009","2009",50.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SVK","Slovak Republic","2014","2014",54.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ESP","Spain","2001","2001",48.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ESP","Spain","2003","2003",48.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ESP","Spain","2006","2006",51.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ESP","Spain","2009","2009",52.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ESP","Spain","2011","2011",52.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ESP","Spain","2014","2014",51.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","ESP","Spain","2017","2017",53,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2000","2000",42.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2001","2001",42.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2002","2002",44.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2003","2003",43.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2004","2004",42.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2005","2005",44.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2006","2006",43.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2007","2007",44.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2008","2008",44.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2009","2009",45.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2010","2010",46.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2011","2011",46.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2012","2012",47.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2013","2013",46.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2014","2014",46.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2015","2015",48.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2016","2016",48.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","SWE","Sweden","2017","2017",48.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CHE","Switzerland","2002","2002",37.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CHE","Switzerland","2007","2007",37.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CHE","Switzerland","2012","2012",41,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CHE","Switzerland","2017","2017",41.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","TUR","Turkey","2003","2003",43.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","TUR","Turkey","2008","2008",47.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","TUR","Turkey","2010","2010",49.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","TUR","Turkey","2012","2012",52,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","TUR","Turkey","2014","2014",53.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","TUR","Turkey","2016","2016",53.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2000","2000",57.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2001","2001",58.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2002","2002",59.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2003","2003",59.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2004","2004",59.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2005","2005",60.7,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2006","2006",61,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2007","2007",61.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2008","2008",62.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2009","2009",63.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2010","2010",63.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2011","2011",63.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2012","2012",63.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2013","2013",63.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2014","2014",64.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2015","2015",63.8,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2016","2016",65.1,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","USA","United States","2017","2017",65.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CHL","Chile","2000","2000",33.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CHL","Chile","2006","2006",47.4,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CHL","Chile","2009","2009",55.5,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","CHL","Chile","2015","2015",48.3,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2000","2000",41.9,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2002","2002",42.6,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2004","2004",43.2,,
"BODYVBSR","Overweight or obese population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2006","2006",46.5,,
