"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2000","2000",6.85,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2001","2001",6.75,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2002","2002",6.67,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2003","2003",6.56,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2004","2004",6.49,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2005","2005",6.43,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2006","2006",6.37,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2007","2007",6.38,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2008","2008",6.29,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2009","2009",6.23,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2010","2010",6.16,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2011","2011",6.1,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2012","2012",6,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2013","2013",5.87,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2014","2014",5.78,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2015","2015",5.65,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2016","2016",5.55,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","AUT","Austria","2017","2017",5.45,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2000","2000",6.2,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2001","2001",6.03,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2002","2002",5.92,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2003","2003",5.9,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2004","2004",5.84,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2005","2005",5.79,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2006","2006",5.7,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2007","2007",5.61,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2008","2008",5.59,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2009","2009",5.49,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2010","2010",5.46,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2011","2011",5.38,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2012","2012",5.3,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2013","2013",5.24,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2014","2014",5.24,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2015","2015",5.19,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2016","2016",5.12,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2017","2017",5,"D","Difference in methodology"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","BEL","Belgium","2018","2018",4.98,"P","Provisional value"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2000","2000",3.48,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2001","2001",3.38,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2002","2002",3.32,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2003","2003",3.18,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2004","2004",3.15,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2005","2005",2.73,"B","Break"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2006","2006",2.25,"B","Break"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2007","2007",2.2,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2008","2008",2.17,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2009","2009",2.12,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2010","2010",2.09,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2011","2011",2.1,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2012","2012",2.1,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2013","2013",2.07,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2014","2014",2.06,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2015","2015",2.02,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2016","2016",2.01,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2017","2017",1.96,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CAN","Canada","2018","2018",1.95,"P","Provisional value"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2000","2000",5.78,"B","Break"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2001","2001",5.73,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2002","2002",5.69,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2003","2003",5.58,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2004","2004",5.43,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2005","2005",5.37,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2006","2006",5.28,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2007","2007",5.21,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2008","2008",5.1,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2009","2009",5.01,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2010","2010",4.8,"B","Break"
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2011","2011",4.59,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2012","2012",4.46,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2013","2013",4.22,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2014","2014",4.18,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2015","2015",4.16,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2016","2016",4.14,,
"HOPILICS","Curative (acute) care beds","RTOINPNB","Per 1 000 population","CZE","Czech Republic","2017","2017",4.11,,
