"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2000","2000",46.9,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2001","2001",46.79,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2002","2002",46.68,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2003","2003",48.25,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2004","2004",49.02,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2005","2005",52.62,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2006","2006",52.61,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2007","2007",52.87,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2008","2008",56.09,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2009","2009",55.82,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2010","2010",57.5,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2011","2011",59.64,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2012","2012",60.42,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2013","2013",59.93,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2014","2014",63.11,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2015","2015",65.92,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2016","2016",67.57,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUS","Australia","2017","2017",68.07,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2000","2000",37.6,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2001","2001",38.83,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2002","2002",39.76,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2003","2003",40.64,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2004","2004",41.42,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2005","2005",42.08,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2006","2006",43.16,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2007","2007",44.02,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2008","2008",44.95,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2009","2009",46.35,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2010","2010",47.86,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2011","2011",48.53,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2012","2012",49.19,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2013","2013",49.52,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2014","2014",49.83,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2015","2015",50.74,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2016","2016",51.66,,
"GEHETHSM","Total health and social employment","DENSPPNB","Density per 1 000 population (head counts)","AUT","Austria","2017","2017",52.18,,
